region,partner,oem_program,metric_date,avg_latency_ms,p95_latency_ms,packet_loss_pct,attach_success_rate,sessions
Oceania,Orange,Luxury-Flagship,2025-02-02,134.8,178.2,0.34,0.931,1817
Asia-Pacific,Deutsche Telekom,Fleet-Leasing,2025-02-05,83.7,115.6,0.82,0.971,1154
India & Middle East,Airtel,Moto-2W,2025-01-03,62.4,100.7,0.08,0.973,3459
Asia-Pacific,SK Telecom,Commercial-Van,2025-02-24,49.2,76.7,0.3,0.931,3975
Oceania,AT&T,EV-Premium,2025-01-15,106.1,158.7,0.7,0.933,2705
India & Middle East,Rogers,Luxury-Flagship,2025-01-03,66.5,141.9,0.73,0.948,1722
North America,AT&T,Compact-Connected,2025-02-26,133.8,192.0,0.15,0.942,1387
Oceania,Deutsche Telekom,Compact-Connected,2025-02-20,97.2,125.0,0.24,0.966,1035
North America,AT&T,Fleet-Leasing,2025-02-08,62.0,99.6,0.12,0.936,1618
Latin America,Telefonica,Commercial-Van,2025-01-17,112.0,167.5,0.63,0.96,1292
Europe & MENA,Deutsche Telekom,Moto-2W,2025-01-16,134.0,166.5,0.1,0.936,3713
India & Middle East,Etisalat,EV-Urban,2025-01-14,92.6,137.4,0.38,0.986,2768
Asia-Pacific,Vodafone,Fleet-Leasing,2025-01-10,113.9,169.6,0.79,0.983,4036
India & Middle East,AT&T,Luxury-Flagship,2025-02-01,103.0,177.0,0.3,0.95,1521
Latin America,AT&T,SUV-Connected,2025-01-31,82.9,124.6,0.35,0.963,692
Europe & MENA,Vodafone,Commercial-Van,2025-01-09,130.5,198.4,0.83,0.951,3512
Oceania,Airtel,EV-Premium,2025-02-18,49.4,127.3,0.37,0.984,2301
Europe & MENA,Etisalat,Commercial-Van,2025-01-04,74.8,152.1,0.3,0.973,3610
Asia-Pacific,Rogers,Luxury-Flagship,2025-02-15,118.3,195.6,0.52,0.955,4877
North America,Deutsche Telekom,EV-Premium,2025-02-20,84.7,129.4,0.82,0.933,3436
Oceania,TIM,SUV-Connected,2025-01-15,57.5,92.8,0.51,0.933,4361
Latin America,SK Telecom,Luxury-Flagship,2025-01-23,58.2,101.3,0.77,0.974,2707
Oceania,TIM,Luxury-Flagship,2025-02-06,131.3,206.3,0.51,0.936,924
Oceania,SK Telecom,Fleet-Leasing,2025-01-13,131.4,160.9,0.68,0.979,1943
Asia-Pacific,Rogers,Commercial-Van,2025-02-14,106.1,153.5,0.48,0.972,4711
Europe & MENA,Rogers,EV-Premium,2025-02-11,53.3,125.7,0.69,0.965,2450
Europe & MENA,TIM,Compact-Connected,2025-02-10,114.5,173.4,0.85,0.992,1171
India & Middle East,Telstra,EV-Premium,2025-01-31,131.3,171.3,0.69,0.97,671
Oceania,Telstra,EV-Premium,2025-02-14,124.8,153.4,0.55,0.99,2563
Europe & MENA,NTT Docomo,Moto-2W,2025-02-19,110.1,187.1,0.48,0.95,688
Europe & MENA,Vodafone,Luxury-Flagship,2025-01-15,123.9,198.9,0.27,0.986,4667
Oceania,Etisalat,EV-Premium,2025-02-16,116.1,163.4,0.79,0.991,1411
Asia-Pacific,Airtel,EV-Urban,2025-01-31,64.7,128.6,0.09,0.986,3003
India & Middle East,Rogers,Fleet-Leasing,2025-02-03,61.1,123.4,0.14,0.978,2524
Asia-Pacific,Airtel,EV-Urban,2025-01-11,56.5,93.1,0.11,0.978,3550
India & Middle East,SK Telecom,Moto-2W,2025-01-21,124.9,195.1,0.77,0.93,3806
India & Middle East,Airtel,Commercial-Van,2025-02-07,48.5,94.4,0.57,0.971,3144
India & Middle East,Rogers,Compact-Connected,2025-01-16,76.2,146.7,0.49,0.955,1754
Europe & MENA,Airtel,Commercial-Van,2025-01-03,59.1,105.6,0.08,0.937,1943
Asia-Pacific,Airtel,Fleet-Leasing,2025-01-22,57.8,133.0,0.64,0.976,1998
India & Middle East,Orange,Luxury-Flagship,2025-01-13,57.2,136.8,0.55,0.935,2271
North America,Orange,SUV-Connected,2025-02-11,73.0,138.5,0.17,0.943,3641
Oceania,TIM,EV-Premium,2025-01-30,69.4,139.0,0.53,0.965,3241
Oceania,Etisalat,EV-Urban,2025-02-01,51.0,111.3,0.36,0.989,547
Europe & MENA,Telefonica,EV-Premium,2025-02-15,91.1,148.9,0.54,0.988,4110
North America,SK Telecom,Moto-2W,2025-02-05,108.1,178.1,0.36,0.981,4412
Latin America,Airtel,Compact-Connected,2025-01-04,95.8,168.8,0.13,0.959,963
Asia-Pacific,AT&T,Fleet-Leasing,2025-01-04,52.8,119.0,0.48,0.962,1975
North America,TIM,EV-Premium,2025-02-26,55.2,119.4,0.5,0.991,1914
Latin America,AT&T,EV-Urban,2025-01-26,50.3,127.8,0.57,0.954,2420
Oceania,TIM,EV-Urban,2025-01-14,92.9,126.3,0.31,0.954,4163
India & Middle East,Airtel,Moto-2W,2025-01-20,83.2,120.7,0.64,0.983,1572
Latin America,Rogers,Fleet-Leasing,2025-02-03,76.7,127.1,0.68,0.975,847
Oceania,Rogers,Moto-2W,2025-02-03,123.4,177.4,0.74,0.947,2205
Asia-Pacific,Orange,Compact-Connected,2025-01-25,102.9,180.1,0.51,0.968,3206
Oceania,Orange,Compact-Connected,2025-01-25,129.7,181.6,0.87,0.949,2588
North America,Orange,EV-Premium,2025-02-06,134.5,195.8,0.16,0.932,1972
North America,Deutsche Telekom,Compact-Connected,2025-02-19,66.3,115.2,0.75,0.94,527
Asia-Pacific,Singtel,EV-Urban,2025-01-25,81.2,120.1,0.75,0.937,4449
Oceania,Vodafone,Moto-2W,2025-02-12,57.2,110.3,0.78,0.956,1888
North America,NTT Docomo,Fleet-Leasing,2025-01-30,64.5,91.9,0.7,0.944,2800
Asia-Pacific,Orange,Compact-Connected,2025-01-22,75.1,141.2,0.23,0.961,2676
Latin America,Vodafone,Commercial-Van,2025-01-06,95.5,147.0,0.21,0.973,2510
North America,Deutsche Telekom,SUV-Connected,2025-01-26,60.6,138.1,0.34,0.977,2102
North America,Etisalat,EV-Premium,2025-01-24,68.3,124.3,0.56,0.937,1999
Europe & MENA,Orange,EV-Premium,2025-02-24,45.3,97.1,0.12,0.972,1186
India & Middle East,Airtel,EV-Premium,2025-01-14,75.5,152.9,0.7,0.975,4986
Oceania,TIM,Compact-Connected,2025-01-09,61.1,101.7,0.44,0.961,1875
Latin America,Deutsche Telekom,EV-Urban,2025-02-21,66.0,122.5,0.22,0.988,2383
India & Middle East,TIM,SUV-Connected,2025-02-11,78.6,114.0,0.06,0.934,3731
Latin America,Deutsche Telekom,SUV-Connected,2025-02-19,70.1,102.2,0.23,0.962,2069
Asia-Pacific,NTT Docomo,Luxury-Flagship,2025-02-06,114.7,169.9,0.44,0.971,3410
Europe & MENA,Telstra,SUV-Connected,2025-01-03,49.1,110.3,0.52,0.946,1425
Asia-Pacific,Orange,Moto-2W,2025-01-27,98.5,136.9,0.11,0.932,3071
Asia-Pacific,Singtel,Moto-2W,2025-02-01,116.9,169.6,0.26,0.939,4327
North America,NTT Docomo,Commercial-Van,2025-01-28,128.7,191.2,0.13,0.933,1695
North America,Telefonica,Fleet-Leasing,2025-02-21,88.9,146.9,0.26,0.975,2763
Oceania,NTT Docomo,Fleet-Leasing,2025-01-05,90.0,155.8,0.35,0.981,3645
Latin America,Singtel,Moto-2W,2025-03-01,92.3,119.4,0.89,0.949,2059
Asia-Pacific,Orange,Moto-2W,2025-01-09,73.6,145.0,0.54,0.962,3256
Latin America,SK Telecom,Moto-2W,2025-02-22,72.1,113.7,0.22,0.982,2156
Europe & MENA,Singtel,Moto-2W,2025-01-12,59.7,115.8,0.77,0.958,1145
Europe & MENA,TIM,Luxury-Flagship,2025-02-10,53.5,95.5,0.38,0.959,2345
Europe & MENA,AT&T,EV-Premium,2025-01-01,62.2,111.5,0.29,0.979,3165
Europe & MENA,Etisalat,EV-Urban,2025-01-06,119.6,194.3,0.31,0.963,3308
India & Middle East,Telstra,Compact-Connected,2025-02-09,50.4,112.5,0.36,0.934,560
Oceania,Singtel,Fleet-Leasing,2025-01-18,50.4,95.4,0.82,0.939,3515
Asia-Pacific,TIM,Luxury-Flagship,2025-02-19,56.8,93.8,0.11,0.986,3437
Europe & MENA,Deutsche Telekom,EV-Premium,2025-01-22,100.8,162.6,0.39,0.945,587
Oceania,Deutsche Telekom,Luxury-Flagship,2025-02-19,103.7,152.4,0.51,0.981,4928
Europe & MENA,Orange,Luxury-Flagship,2025-02-27,62.0,106.2,0.33,0.951,2340
North America,AT&T,SUV-Connected,2025-01-09,49.7,84.2,0.41,0.977,921
Latin America,Singtel,Compact-Connected,2025-02-10,102.0,154.9,0.88,0.951,1807
Europe & MENA,Singtel,Luxury-Flagship,2025-01-16,87.1,166.4,0.4,0.947,855
Oceania,TIM,EV-Premium,2025-02-25,56.6,103.9,0.35,0.943,829
Asia-Pacific,NTT Docomo,Luxury-Flagship,2025-01-01,94.9,140.8,0.72,0.932,4956
Europe & MENA,Singtel,Commercial-Van,2025-01-03,117.3,195.2,0.22,0.948,1431
India & Middle East,Singtel,EV-Urban,2025-01-28,67.6,95.9,0.19,0.98,3843
India & Middle East,SK Telecom,EV-Urban,2025-01-04,113.0,182.4,0.65,0.978,2865
Latin America,Orange,EV-Urban,2025-01-30,117.2,169.1,0.63,0.944,647
Latin America,Telstra,Luxury-Flagship,2025-02-02,62.0,134.2,0.26,0.963,2458
Oceania,Singtel,EV-Urban,2025-02-27,71.4,138.7,0.66,0.955,1250
Latin America,Telefonica,Fleet-Leasing,2025-02-20,102.0,152.2,0.2,0.968,3326
North America,Airtel,EV-Premium,2025-01-18,51.5,95.6,0.27,0.97,4507
North America,Etisalat,Commercial-Van,2025-02-04,121.6,198.2,0.86,0.954,4910
Asia-Pacific,SK Telecom,EV-Premium,2025-02-01,47.3,89.7,0.61,0.93,3130
Europe & MENA,Telefonica,Commercial-Van,2025-02-20,129.6,180.6,0.47,0.95,2674
Asia-Pacific,Rogers,Luxury-Flagship,2025-01-16,48.0,120.9,0.24,0.988,3076
North America,Deutsche Telekom,Moto-2W,2025-01-06,73.0,123.6,0.69,0.957,4335
Oceania,Etisalat,Fleet-Leasing,2025-01-07,45.0,74.5,0.23,0.989,4404
India & Middle East,Singtel,Fleet-Leasing,2025-01-18,89.3,149.9,0.33,0.967,1913
Latin America,Deutsche Telekom,SUV-Connected,2025-01-28,63.1,111.5,0.69,0.941,1143
Europe & MENA,Deutsche Telekom,SUV-Connected,2025-01-12,114.7,165.1,0.74,0.945,3956
Oceania,NTT Docomo,EV-Urban,2025-01-19,105.0,177.8,0.09,0.951,1578
North America,Deutsche Telekom,EV-Urban,2025-02-28,124.4,172.5,0.75,0.952,3566
North America,Telefonica,Moto-2W,2025-01-11,85.9,125.5,0.05,0.943,3881
Europe & MENA,Etisalat,EV-Premium,2025-01-28,126.8,204.5,0.24,0.978,4409
Oceania,Deutsche Telekom,SUV-Connected,2025-01-09,134.5,190.1,0.33,0.951,3475
Oceania,SK Telecom,Commercial-Van,2025-02-21,53.0,82.0,0.06,0.949,4672
Oceania,Orange,Compact-Connected,2025-02-23,106.2,147.0,0.62,0.965,4190
Asia-Pacific,Vodafone,SUV-Connected,2025-01-01,76.3,108.7,0.11,0.952,3145
Latin America,Telstra,Fleet-Leasing,2025-02-14,76.5,107.8,0.19,0.942,4978
India & Middle East,Singtel,Luxury-Flagship,2025-02-12,45.4,123.3,0.65,0.986,1775
Latin America,Rogers,Moto-2W,2025-01-31,45.1,91.7,0.36,0.991,4599
Latin America,Rogers,Luxury-Flagship,2025-01-12,77.3,116.6,0.67,0.985,2960
India & Middle East,Deutsche Telekom,EV-Urban,2025-02-11,97.0,170.1,0.46,0.942,2157
India & Middle East,Airtel,EV-Urban,2025-01-08,125.8,152.1,0.11,0.942,1215
Asia-Pacific,Telstra,EV-Premium,2025-02-20,109.6,167.7,0.65,0.986,1021
Europe & MENA,Airtel,Moto-2W,2025-01-21,48.6,119.9,0.55,0.943,4686
Latin America,TIM,Compact-Connected,2025-01-21,90.4,130.5,0.09,0.963,4399
Europe & MENA,Deutsche Telekom,Compact-Connected,2025-01-19,102.9,141.0,0.6,0.988,2932
Latin America,AT&T,Moto-2W,2025-02-13,128.0,156.0,0.66,0.966,4939
Europe & MENA,NTT Docomo,Luxury-Flagship,2025-01-29,86.2,148.9,0.85,0.986,4473
Latin America,TIM,EV-Urban,2025-01-13,130.2,180.4,0.17,0.96,3280
Europe & MENA,Rogers,Commercial-Van,2025-01-02,108.2,186.0,0.54,0.951,3142
North America,Telefonica,Fleet-Leasing,2025-01-07,93.8,138.2,0.18,0.98,4097
North America,Singtel,SUV-Connected,2025-02-21,124.2,155.2,0.07,0.934,1288
North America,Deutsche Telekom,Compact-Connected,2025-01-20,46.6,108.5,0.26,0.984,4052
Oceania,Orange,Commercial-Van,2025-01-13,58.6,121.6,0.41,0.968,2560
Europe & MENA,Telefonica,Commercial-Van,2025-01-18,50.0,82.8,0.37,0.962,693
India & Middle East,Telefonica,SUV-Connected,2025-02-27,121.0,176.4,0.32,0.954,1495
Asia-Pacific,NTT Docomo,Compact-Connected,2025-01-09,126.1,154.9,0.08,0.972,1420
India & Middle East,Telstra,EV-Urban,2025-02-24,104.1,140.2,0.58,0.947,1919
India & Middle East,Telstra,Fleet-Leasing,2025-01-05,58.7,103.6,0.36,0.95,4070
India & Middle East,Vodafone,Luxury-Flagship,2025-01-21,70.5,118.0,0.12,0.981,3946
Asia-Pacific,Vodafone,Moto-2W,2025-01-17,73.5,153.1,0.24,0.953,3079
India & Middle East,Telefonica,Luxury-Flagship,2025-01-31,64.1,139.0,0.19,0.957,774
India & Middle East,AT&T,Moto-2W,2025-01-11,54.1,104.5,0.53,0.934,560
North America,Rogers,EV-Urban,2025-01-29,58.4,92.2,0.32,0.932,541
Europe & MENA,Orange,Compact-Connected,2025-02-26,64.9,106.1,0.68,0.964,1506
North America,SK Telecom,Fleet-Leasing,2025-02-03,88.3,137.3,0.65,0.962,1903
Europe & MENA,Telstra,Luxury-Flagship,2025-02-08,93.0,130.3,0.06,0.949,1492
North America,Etisalat,Moto-2W,2025-01-04,62.7,128.8,0.24,0.942,4993
North America,Rogers,EV-Urban,2025-01-15,134.4,199.8,0.07,0.99,2215
Latin America,TIM,EV-Urban,2025-01-29,129.3,183.1,0.82,0.969,4311
India & Middle East,Airtel,EV-Premium,2025-01-07,62.9,128.8,0.55,0.986,4359
Latin America,AT&T,Compact-Connected,2025-01-20,96.3,135.2,0.56,0.986,4094
Europe & MENA,Telefonica,Compact-Connected,2025-02-10,75.3,149.7,0.56,0.938,3802
India & Middle East,Telstra,Luxury-Flagship,2025-02-21,99.3,158.4,0.55,0.97,3435
Asia-Pacific,Telefonica,SUV-Connected,2025-01-23,87.2,135.5,0.09,0.95,3540
Europe & MENA,Deutsche Telekom,Moto-2W,2025-02-02,121.5,158.1,0.7,0.949,4564
Oceania,Deutsche Telekom,Moto-2W,2025-01-12,97.8,128.5,0.5,0.931,2171
Asia-Pacific,Etisalat,Compact-Connected,2025-02-15,111.9,172.8,0.35,0.935,4945
Europe & MENA,Deutsche Telekom,Compact-Connected,2025-02-10,77.4,138.2,0.09,0.935,1039
Europe & MENA,Airtel,Fleet-Leasing,2025-02-18,53.3,108.4,0.39,0.974,2455
Latin America,Telstra,Compact-Connected,2025-01-09,87.0,128.3,0.14,0.939,806
Oceania,Etisalat,Luxury-Flagship,2025-01-12,117.9,185.6,0.6,0.946,1200
Latin America,Deutsche Telekom,Fleet-Leasing,2025-02-22,56.8,121.4,0.84,0.961,3818
Europe & MENA,Deutsche Telekom,EV-Urban,2025-02-10,130.0,165.8,0.26,0.952,1547
Europe & MENA,Orange,Compact-Connected,2025-02-10,113.3,144.3,0.87,0.931,1287
Asia-Pacific,TIM,EV-Premium,2025-02-10,106.1,146.9,0.25,0.966,4889
Oceania,SK Telecom,SUV-Connected,2025-02-09,88.5,140.5,0.16,0.962,1282
North America,Telstra,Luxury-Flagship,2025-02-12,65.7,110.0,0.06,0.952,1264
North America,Deutsche Telekom,EV-Urban,2025-02-19,122.0,196.4,0.23,0.951,986
India & Middle East,Deutsche Telekom,Moto-2W,2025-02-23,112.7,163.5,0.15,0.981,2369
Oceania,Singtel,EV-Premium,2025-02-08,79.2,127.4,0.41,0.957,3499
India & Middle East,Rogers,Fleet-Leasing,2025-02-04,69.3,116.0,0.71,0.98,2083
Europe & MENA,Vodafone,Moto-2W,2025-02-03,72.6,127.8,0.28,0.931,1149
Europe & MENA,Telstra,Fleet-Leasing,2025-02-08,83.7,125.1,0.31,0.962,2944
Asia-Pacific,SK Telecom,Moto-2W,2025-02-16,66.2,114.4,0.84,0.944,2047
Oceania,AT&T,Commercial-Van,2025-02-13,52.0,81.5,0.26,0.956,1692
North America,NTT Docomo,Fleet-Leasing,2025-02-06,85.2,121.6,0.12,0.986,1887
Oceania,Rogers,SUV-Connected,2025-01-15,49.5,86.9,0.19,0.983,3386
North America,Telefonica,SUV-Connected,2025-01-04,90.7,119.4,0.09,0.931,2305
India & Middle East,NTT Docomo,EV-Urban,2025-01-18,67.9,135.6,0.89,0.954,4575
India & Middle East,Rogers,Moto-2W,2025-02-16,128.4,185.5,0.6,0.948,2052
Europe & MENA,Airtel,Moto-2W,2025-02-28,117.0,163.0,0.38,0.953,2874
Oceania,Deutsche Telekom,EV-Urban,2025-01-13,71.1,107.3,0.05,0.949,1035
Oceania,Airtel,Moto-2W,2025-01-22,51.0,87.5,0.11,0.938,4044
North America,SK Telecom,Moto-2W,2025-01-22,108.9,163.6,0.36,0.965,4379
Latin America,Rogers,SUV-Connected,2025-02-05,131.2,192.8,0.87,0.992,2669
Europe & MENA,Telefonica,Moto-2W,2025-01-09,54.1,130.8,0.37,0.963,1060
India & Middle East,Etisalat,Moto-2W,2025-01-05,93.0,154.6,0.08,0.977,1300
Latin America,Airtel,Luxury-Flagship,2025-01-02,65.4,120.8,0.06,0.947,1111
India & Middle East,Deutsche Telekom,EV-Urban,2025-02-19,101.8,158.7,0.22,0.939,3572
Europe & MENA,Orange,Commercial-Van,2025-02-11,102.9,163.7,0.1,0.943,1360
Oceania,Etisalat,Moto-2W,2025-01-28,123.1,150.5,0.2,0.932,2457
Asia-Pacific,NTT Docomo,EV-Urban,2025-02-15,53.9,131.3,0.64,0.981,3756
Latin America,Airtel,EV-Urban,2025-02-13,52.3,102.3,0.77,0.979,1504
Latin America,Orange,Compact-Connected,2025-02-14,132.4,204.8,0.2,0.983,2998
Europe & MENA,TIM,Luxury-Flagship,2025-01-06,70.6,110.8,0.48,0.94,4135
Latin America,Telefonica,Luxury-Flagship,2025-01-01,131.8,196.5,0.22,0.973,889
Latin America,Telefonica,Moto-2W,2025-01-25,134.8,211.3,0.1,0.931,1387
Latin America,Telstra,EV-Urban,2025-01-05,83.2,135.9,0.11,0.931,992
North America,Telstra,SUV-Connected,2025-01-05,133.7,193.0,0.9,0.94,4588
Latin America,Telstra,EV-Premium,2025-01-10,131.2,196.0,0.87,0.951,1573
North America,Airtel,Luxury-Flagship,2025-02-15,76.3,122.5,0.87,0.981,4870
Latin America,Deutsche Telekom,EV-Urban,2025-02-24,48.7,88.8,0.46,0.962,2103
India & Middle East,Singtel,SUV-Connected,2025-01-16,66.2,125.5,0.4,0.958,1496
Asia-Pacific,Singtel,Commercial-Van,2025-01-05,59.9,106.3,0.47,0.972,3327
Latin America,AT&T,EV-Urban,2025-01-02,134.7,212.7,0.42,0.965,1305
India & Middle East,TIM,Moto-2W,2025-02-14,73.4,107.0,0.58,0.935,1418
North America,Orange,Commercial-Van,2025-02-02,77.4,142.9,0.33,0.947,591
Europe & MENA,Vodafone,Fleet-Leasing,2025-02-20,72.7,106.7,0.8,0.976,2530
India & Middle East,NTT Docomo,Commercial-Van,2025-02-12,68.7,117.3,0.12,0.934,3727
North America,TIM,EV-Premium,2025-02-18,115.8,147.2,0.9,0.967,2126
India & Middle East,Vodafone,Compact-Connected,2025-02-11,119.5,171.5,0.65,0.979,4072
Asia-Pacific,Airtel,SUV-Connected,2025-02-19,53.8,125.2,0.24,0.938,4879
Oceania,Orange,Fleet-Leasing,2025-01-05,88.0,118.7,0.59,0.983,3508
North America,SK Telecom,Fleet-Leasing,2025-02-02,71.1,136.4,0.7,0.966,4797
Oceania,AT&T,Moto-2W,2025-01-06,90.8,169.5,0.48,0.934,2857
Asia-Pacific,Telstra,Commercial-Van,2025-01-18,63.3,120.2,0.26,0.971,4380
Oceania,Singtel,EV-Urban,2025-02-15,56.9,88.3,0.42,0.946,2568
Asia-Pacific,Singtel,Commercial-Van,2025-01-09,55.4,92.8,0.48,0.949,2016
Oceania,TIM,SUV-Connected,2025-02-01,67.6,105.8,0.35,0.99,2599
Europe & MENA,Orange,Moto-2W,2025-01-08,63.2,135.2,0.15,0.944,1107
Europe & MENA,NTT Docomo,Luxury-Flagship,2025-02-14,86.8,163.9,0.62,0.96,4706
Europe & MENA,Rogers,EV-Urban,2025-01-30,131.2,192.2,0.83,0.986,4564
North America,Rogers,EV-Premium,2025-02-21,95.9,135.1,0.7,0.953,2860
Asia-Pacific,Airtel,Compact-Connected,2025-02-18,70.4,120.3,0.12,0.967,596
Asia-Pacific,Rogers,Compact-Connected,2025-02-17,70.9,107.0,0.1,0.988,723
Asia-Pacific,Deutsche Telekom,Luxury-Flagship,2025-01-30,127.9,181.3,0.8,0.988,698
North America,Telstra,SUV-Connected,2025-02-09,72.1,133.9,0.26,0.946,4921
Oceania,NTT Docomo,Fleet-Leasing,2025-02-16,76.1,155.7,0.43,0.977,1764
Asia-Pacific,AT&T,EV-Urban,2025-02-27,49.3,123.8,0.45,0.94,3679
North America,Vodafone,SUV-Connected,2025-02-04,108.9,183.9,0.1,0.933,1450
Latin America,AT&T,Moto-2W,2025-02-24,134.2,167.3,0.87,0.954,788
Asia-Pacific,NTT Docomo,Fleet-Leasing,2025-02-26,97.5,144.3,0.82,0.934,4020
Europe & MENA,Vodafone,Commercial-Van,2025-01-11,96.7,176.5,0.77,0.934,4625
Europe & MENA,Telefonica,SUV-Connected,2025-01-12,104.1,149.5,0.55,0.943,3153
Oceania,Telefonica,Commercial-Van,2025-02-17,74.5,134.6,0.26,0.979,2479
India & Middle East,Telefonica,Luxury-Flagship,2025-02-24,133.5,207.4,0.83,0.968,3625
North America,AT&T,Luxury-Flagship,2025-01-07,105.2,141.2,0.07,0.984,4312
India & Middle East,Singtel,EV-Premium,2025-01-02,95.9,129.1,0.79,0.969,4234
North America,Vodafone,Moto-2W,2025-01-06,62.4,103.4,0.16,0.981,3226
North America,NTT Docomo,EV-Urban,2025-01-19,71.0,147.5,0.22,0.961,3330
North America,Rogers,Moto-2W,2025-02-26,65.7,95.1,0.14,0.95,2687
Latin America,TIM,SUV-Connected,2025-01-10,120.1,173.0,0.35,0.975,4230
Europe & MENA,Vodafone,Fleet-Leasing,2025-01-24,114.8,142.5,0.7,0.973,2039
Asia-Pacific,Telstra,EV-Premium,2025-01-11,109.2,186.2,0.69,0.972,729
Asia-Pacific,SK Telecom,EV-Premium,2025-01-30,47.0,83.6,0.49,0.991,3463
Europe & MENA,Orange,Luxury-Flagship,2025-02-26,92.3,142.4,0.34,0.983,4413
North America,Airtel,Commercial-Van,2025-01-19,53.1,119.6,0.43,0.966,956
Latin America,TIM,Compact-Connected,2025-02-01,81.9,110.1,0.23,0.968,1417
India & Middle East,Airtel,Fleet-Leasing,2025-01-13,99.4,139.0,0.06,0.938,3783
Oceania,TIM,Fleet-Leasing,2025-02-28,70.8,117.6,0.44,0.937,1477
Asia-Pacific,NTT Docomo,Commercial-Van,2025-01-20,72.7,100.1,0.77,0.94,4846
Europe & MENA,Vodafone,SUV-Connected,2025-02-06,120.0,164.4,0.76,0.946,3706
North America,Telefonica,EV-Urban,2025-02-22,96.3,133.1,0.51,0.988,1609
Europe & MENA,Singtel,SUV-Connected,2025-02-09,123.3,176.1,0.79,0.965,4335
India & Middle East,TIM,Moto-2W,2025-02-18,110.4,152.6,0.83,0.965,2306
India & Middle East,TIM,EV-Urban,2025-02-07,76.2,123.4,0.84,0.959,2627
Latin America,Vodafone,SUV-Connected,2025-01-01,129.6,172.6,0.78,0.933,3233
Asia-Pacific,Deutsche Telekom,Compact-Connected,2025-01-13,129.0,154.0,0.11,0.986,617
India & Middle East,Deutsche Telekom,Commercial-Van,2025-02-14,91.4,122.9,0.29,0.992,4887
Asia-Pacific,Etisalat,Luxury-Flagship,2025-01-11,52.3,83.4,0.09,0.943,3977
India & Middle East,AT&T,Luxury-Flagship,2025-02-06,102.0,147.0,0.81,0.967,4783
Oceania,Singtel,EV-Urban,2025-02-07,89.4,143.6,0.74,0.973,4606
Latin America,Vodafone,EV-Urban,2025-02-19,113.8,182.6,0.52,0.96,4774
Asia-Pacific,TIM,Moto-2W,2025-02-16,78.1,156.6,0.62,0.955,3941
Asia-Pacific,AT&T,SUV-Connected,2025-02-24,119.7,167.7,0.28,0.967,2197
India & Middle East,Rogers,Fleet-Leasing,2025-02-28,127.2,171.9,0.76,0.942,783
Latin America,Singtel,Compact-Connected,2025-01-14,107.9,175.4,0.29,0.977,2756
Oceania,SK Telecom,Luxury-Flagship,2025-01-29,83.1,109.9,0.36,0.949,719
Latin America,Telstra,EV-Premium,2025-01-01,99.5,166.2,0.2,0.942,3192
Europe & MENA,Telstra,EV-Premium,2025-01-04,119.3,162.3,0.79,0.936,930
Asia-Pacific,SK Telecom,EV-Urban,2025-01-23,62.7,100.0,0.36,0.979,1598
Latin America,Telstra,Fleet-Leasing,2025-02-08,55.0,134.4,0.38,0.948,3475
Oceania,NTT Docomo,Moto-2W,2025-01-15,63.7,109.4,0.54,0.931,1002
Europe & MENA,Telstra,Commercial-Van,2025-01-03,56.4,102.7,0.32,0.944,2088
Europe & MENA,SK Telecom,Moto-2W,2025-01-17,99.1,172.3,0.12,0.945,4392
India & Middle East,TIM,Compact-Connected,2025-01-03,63.8,141.6,0.17,0.967,519
Oceania,Vodafone,Luxury-Flagship,2025-02-12,130.2,173.8,0.3,0.94,3754
India & Middle East,Singtel,EV-Urban,2025-02-19,109.7,136.1,0.42,0.949,846
India & Middle East,Orange,EV-Urban,2025-02-25,69.3,115.2,0.72,0.958,4678
Latin America,Rogers,SUV-Connected,2025-01-14,90.4,159.1,0.72,0.98,4486
Asia-Pacific,Vodafone,EV-Urban,2025-01-24,48.3,123.3,0.73,0.958,4103
Europe & MENA,TIM,Commercial-Van,2025-01-10,69.8,141.4,0.21,0.955,4209
Latin America,Etisalat,EV-Premium,2025-01-19,105.1,136.8,0.7,0.951,532
Oceania,Deutsche Telekom,Fleet-Leasing,2025-01-26,109.1,182.7,0.45,0.938,3186
India & Middle East,Airtel,SUV-Connected,2025-02-28,69.1,127.7,0.09,0.975,648
India & Middle East,Vodafone,EV-Premium,2025-02-25,55.6,96.9,0.15,0.977,4521
Oceania,Orange,EV-Urban,2025-01-27,68.2,138.8,0.75,0.932,1979
Oceania,Deutsche Telekom,Luxury-Flagship,2025-01-03,73.6,124.6,0.88,0.943,1578
Europe & MENA,TIM,Fleet-Leasing,2025-01-30,65.8,109.3,0.43,0.954,4093
Europe & MENA,Telstra,EV-Urban,2025-02-01,72.7,115.1,0.37,0.941,4352
Latin America,Deutsche Telekom,Moto-2W,2025-01-12,54.6,85.5,0.48,0.992,1670
Oceania,Etisalat,Luxury-Flagship,2025-02-14,106.2,178.6,0.27,0.99,2401
North America,Rogers,EV-Premium,2025-01-29,111.7,155.0,0.29,0.985,1610
India & Middle East,Airtel,Luxury-Flagship,2025-02-24,46.2,108.7,0.22,0.949,4598
India & Middle East,Orange,EV-Premium,2025-01-18,134.9,162.0,0.77,0.987,4264
Oceania,SK Telecom,Compact-Connected,2025-02-03,85.1,123.5,0.75,0.935,1866
